Device Name,IP Address,Latency (ms),Packet Loss (%),Timestamp
Home Router,172.20.10.1,0.0,100.0,2026-05-02 13:26:22
Google DNS,8.8.8.8,67.8096,0.0,2026-05-02 13:26:15
Local Machine,127.0.0.1,0.520229,0.0,2026-05-02 13:26:15
Localhost,127.0.0.1,0.580788,0.0,2026-05-02 13:26:12
Router1,8.8.8.8,40.7474,0.0,2026-05-02 13:26:11
Core Router 01,192.168.1.1,0.0,100.0,2026-05-02 13:26:08
Cloudflare DNS,1.1.1.1,153.817,0.0,2026-05-02 13:25:51
My PC,172.20.10.5,0.0,100.0,2026-05-02 13:25:48
Home Router,172.20.10.1,0.0,100.0,2026-05-02 13:25:41
Google DNS,8.8.8.8,38.0373,0.0,2026-05-02 13:25:34
Local Machine,127.0.0.1,0.681877,0.0,2026-05-02 13:25:34
Router1,8.8.8.8,45.9907,0.0,2026-05-02 13:25:30
Localhost,127.0.0.1,0.389099,0.0,2026-05-02 13:25:30
Core Router 01,192.168.1.1,0.0,100.0,2026-05-02 13:25:27
Cloudflare DNS,1.1.1.1,40.0631,0.0,2026-05-02 13:25:10
My PC,172.20.10.5,0.0,100.0,2026-05-02 13:25:07
Home Router,172.20.10.1,0.0,100.0,2026-05-02 13:25:00
Local Machine,127.0.0.1,0.384331,0.0,2026-05-02 13:24:53
Google DNS,8.8.8.8,35.3584,0.0,2026-05-02 13:24:52
Router1,8.8.8.8,50.5555,0.0,2026-05-02 13:24:49
Localhost,127.0.0.1,0.400066,0.0,2026-05-02 13:24:49
Core Router 01,192.168.1.1,0.0,100.0,2026-05-02 13:24:46
Cloudflare DNS,1.1.1.1,45.4936,0.0,2026-05-02 13:24:29
My PC,172.20.10.5,0.0,100.0,2026-05-02 13:24:26
Home Router,172.20.10.1,0.0,100.0,2026-05-02 13:24:19
Google DNS,8.8.8.8,57.8113,0.0,2026-05-02 13:24:11
Local Machine,127.0.0.1,0.56529,0.0,2026-05-02 13:24:11
Router1,8.8.8.8,48.0502,0.0,2026-05-02 13:24:08
Localhost,127.0.0.1,1.28007,0.0,2026-05-02 13:24:08
Core Router 01,192.168.1.1,0.0,100.0,2026-05-02 13:24:05
Cloudflare DNS,1.1.1.1,37.6706,0.0,2026-05-02 13:23:48
My PC,172.20.10.5,0.0,100.0,2026-05-02 13:23:45
Home Router,172.20.10.1,0.0,100.0,2026-05-02 13:23:37
